bhk,area,region,status,price_in_USD,house_type,new
1,670,Ambernath East,0,32400.0,0,1
1,675,Ambernath East,0,31200.0,0,1
2,820,Ambernath East,0,38400.0,0,1
1,595,Ambernath East,0,32400.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,973,Ambernath East,1,53232.0,0,1
2,973,Ambernath East,1,53232.0,0,1
1,670,Ambernath East,1,37608.0,0,1
1,670,Ambernath East,1,37608.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,682,Ambernath East,1,38220.0,0,1
1,682,Ambernath East,1,38220.0,0,1
2,1100,Ambernath East,0,48000.0,0,1
1,580,Ambernath East,0,34800.0,0,1
1,640,Ambernath East,0,28800.0,0,1
2,950,Ambernath East,0,42000.0,0,1
1,660,Ambernath East,0,38400.0,0,0
1,680,Ambernath East,0,36000.0,0,1
1,675,Ambernath East,0,31200.0,0,1
1,650,Ambernath East,0,31200.0,0,1
1,660,Ambernath East,0,30000.0,0,1
1,660,Ambernath East,0,32400.0,0,0
2,1133,Ambernath East,0,49200.0,0,1
2,830,Ambernath East,0,38400.0,0,1
2,845,Ambernath East,0,38400.0,0,1
1,730,Ambernath East,0,31320.0,0,0
2,968,Ambernath East,0,46800.0,0,1
1,680,Ambernath East,0,31200.0,0,1
1,520,Ambernath East,0,28800.0,0,1
2,1130,Ambernath East,0,48000.0,0,0
1,730,Ambernath East,0,31200.0,0,0
4,1030,Ambernath East,0,46800.0,0,1
1,510,Ambernath East,0,24000.0,2,1
1,640,Ambernath East,0,30000.0,0,1
4,1070,Ambernath East,0,54000.0,0,1
2,1160,Ambernath East,0,50400.0,0,1
1,535,Ambernath East,0,26400.0,0,1
2,1040,Ambernath East,0,43200.0,0,1
1,685,Ambernath East,0,31200.0,0,1
2,993,Ambernath East,0,44400.0,0,1
1,582,Ambernath East,0,33828.0,0,1
2,1040,Ambernath East,0,55200.0,0,1
1,580,Ambernath East,0,32400.0,0,1
2,1040,Ambernath East,0,44400.0,0,1
2,931,Ambernath East,0,44400.0,0,0
1,690,Ambernath East,0,31200.0,0,0
1,670,Ambernath East,0,32400.0,0,1
1,580,Ambernath East,1,31200.0,0,1
2,920,Ambernath East,1,54000.0,0,1
1,675,Ambernath East,0,31200.0,0,1
1,685,Ambernath East,1,33696.0,0,1
2,865,Ambernath East,1,42420.0,0,1
1,692,Ambernath East,0,46080.0,0,1
1,582,Ambernath East,1,35820.0,0,1
1,685,Ambernath East,1,31800.0,0,1
1,720,Ambernath East,1,39600.0,0,1
1,700,Ambernath East,0,31200.0,0,1
1,636,Ambernath East,0,36000.0,0,1
1,670,Ambernath East,1,33600.0,0,1
2,1000,Ambernath East,1,52800.0,0,1
1,590,Ambernath East,1,27600.0,0,1
1,624,Ambernath East,1,26400.0,0,1
1,691,Ambernath East,1,28800.0,0,1
2,1063,Ambernath East,1,44400.0,0,1
2,1075,Ambernath East,1,44400.0,0,1
1,631,Ambernath East,1,30000.0,0,1
1,626,Ambernath East,0,30000.0,0,1
1,695,Ambernath East,0,34500.0,0,0
2,900,Ambernath East,0,55800.0,0,1
1,730,Ambernath East,0,43800.0,0,1
1,630,Ambernath East,1,31800.0,0,1
1,730,Ambernath East,1,45000.0,0,1
1,650,Ambernath East,1,31200.0,0,1
1,750,Ambernath East,1,48000.0,0,0
1,840,Ambernath East,1,47280.0,0,1
1,689,Ambernath East,1,36000.0,0,1
1,640,Ambernath East,1,36000.0,0,0
1,730,Ambernath East,1,44400.0,0,1
1,665,Ambernath East,1,34800.0,0,1
1,690,Ambernath East,0,43200.0,0,1
1,690,Ambernath East,0,43200.0,0,1
1,670,Ambernath East,1,42000.0,0,1
2,886,Ambernath East,1,46943.99999999999,0,1
1,650,Ambernath East,0,43200.0,0,1
2,950,Ambernath East,1,60000.0,0,1
2,877,Ambernath East,1,38280.0,0,1
1,416,Ambernath East,1,24600.0,2,1
1,561,Ambernath East,0,26148.0,0,1
1,590,Ambernath East,0,25860.0,0,1
2,877,Ambernath East,0,38280.0,0,1
1,562,Ambernath East,0,26520.0,0,1
1,405,Ambernath East,0,19800.0,2,1
1,668,Ambernath East,1,32400.0,0,1
2,876,Ambernath East,1,43200.0,0,1
2,815,Ambernath East,0,34800.0,0,1
2,815,Ambernath East,0,34800.0,0,1
2,882,Ambernath East,0,38280.0,0,1
1,598,Ambernath East,0,25824.0,0,1
2,685,Ambernath East,0,31176.0,0,1
2,882,Ambernath East,1,38160.0,0,1
1,562,Ambernath East,0,26280.0,0,1
1,565,Ambernath East,0,26640.0,0,1
1,517,Ambernath East,1,32160.0,0,1
2,690,Ambernath East,0,31560.0,0,1
1,595,Ambernath East,1,31920.0,0,1
2,860,Ambernath East,0,40920.0,0,1
1,560,Ambernath East,0,26160.0,0,1
1,570,Ambernath East,0,26400.0,0,1
2,840,Ambernath East,1,52800.0,0,1
1,640,Ambernath East,1,31800.0,0,1
1,405,Ambernath East,1,19800.0,2,1
2,685,Ambernath East,0,31200.0,0,1
2,860,Ambernath East,0,40200.0,0,1
1,675,Ambernath East,0,33000.0,0,1
2,915,Ambernath East,1,44400.0,0,1
2,875,Ambernath East,0,43200.0,0,1
1,594,Ambernath East,0,25800.0,0,1
1,517,Ambernath East,1,32040.0,0,1
2,1152,Ambernath East,1,70200.0,0,1
2,957,Ambernath East,1,58800.0,0,1
2,865,Ambernath East,0,40320.0,0,1
2,954,Ambernath East,1,58800.0,0,1
1,681,Ambernath East,1,43200.0,0,1
1,582,Ambernath East,1,36600.0,0,1
1,668,Ambernath East,1,41400.0,0,1
1,680,Ambernath East,0,33480.0,0,1
1,410,Ambernath East,1,19800.0,2,1
1,565,Ambernath East,0,26400.0,0,1
1,570,Ambernath East,0,26400.0,0,1
2,883,Ambernath East,0,38759.99999999999,0,1
2,883,Ambernath East,0,38400.0,0,1
2,798,Ambernath East,0,34800.0,0,1
1,561,Ambernath East,0,26100.0,0,1
2,880,Ambernath East,0,38340.0,0,1
2,688,Ambernath East,0,31200.0,0,1
1,572,Ambernath East,0,26640.0,0,1
2,880,Ambernath East,0,38400.0,0,1
1,628,Ambernath East,0,27000.0,0,1
1,590,Ambernath East,0,25800.0,0,1
1,675,Ambernath East,0,33960.0,0,1
2,692,Ambernath East,0,31320.0,0,1
2,878,Ambernath East,0,38520.0,0,1
1,650,Ambernath East,1,38400.0,0,1
1,640,Ambernath East,0,31800.0,0,1
2,895,Ambernath East,0,45600.0,0,1
1,675,Ambernath East,0,33600.0,0,1
1,670,Ambernath East,0,32400.0,0,0
1,700,Ambernath East,0,33600.0,0,0
2,900,Ambernath East,0,56400.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,973,Ambernath East,1,53232.0,0,1
2,973,Ambernath East,1,53232.0,0,1
1,670,Ambernath East,1,37608.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,973,Ambernath East,1,53232.0,0,1
1,718,Ambernath East,1,40080.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,670,Ambernath East,1,37608.0,0,1
1,682,Ambernath East,1,38220.0,0,1
1,718,Ambernath East,1,40080.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,682,Ambernath East,1,38220.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,973,Ambernath East,1,53232.0,0,1
2,973,Ambernath East,1,53232.0,0,1
1,670,Ambernath East,1,37608.0,0,1
2,821,Ambernath East,1,45396.0,0,1
2,973,Ambernath East,1,53232.0,0,1
1,718,Ambernath East,1,40080.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,670,Ambernath East,1,37608.0,0,1
1,682,Ambernath East,1,38220.0,0,1
1,718,Ambernath East,1,40080.0,0,1
1,639,Ambernath East,1,36000.0,0,1
1,682,Ambernath East,1,38220.0,0,1
2,850,Ambernath East,0,39600.0,0,1
1,605,Ambernath East,0,33000.0,0,1
1,1300,Ambernath East,1,64800.0,0,1
1,1100,Ambernath East,1,59988.0,0,1
1,1050,Ambernath East,1,59880.0,0,1
1,970,Ambernath East,1,51588.0,0,1
1,970,Ambernath East,1,51480.0,0,1
1,750,Ambernath East,1,39468.0,0,1
1,750,Ambernath East,1,39240.00000000001,0,1
1,750,Ambernath East,1,39300.0,0,1
1,750,Ambernath East,1,39359.99999999999,0,1
1,750,Ambernath East,1,39480.0,0,1
1,650,Ambernath East,1,35880.0,0,1
2,1055,Ambernath East,1,58236.0,0,1
2,1050,Ambernath East,1,57960.0,0,1
1,740,Ambernath East,1,40848.0,0,1
1,640,Ambernath East,0,36000.0,0,1
2,875,Ambernath East,0,48000.0,0,1
3,1365,Ambernath East,0,75600.0,0,1
2,990,Ambernath East,0,45600.0,0,1
1,660,Ambernath East,0,38400.0,0,1
1,675,Ambernath East,1,38040.0,0,1
2,945,Ambernath East,0,62400.0,0,1
2,690,Ambernath East,0,42000.0,0,1
1,757,Ambernath East,1,40800.0,0,0
1,645,Ambernath East,0,31200.0,0,1
2,951,Ambernath East,0,44400.0,0,1
2,879,Ambernath East,0,40800.0,0,1
1,667,Ambernath East,0,30000.0,0,1
1,730,Ambernath East,0,48000.0,0,1
1,346,Ambernath East,0,18600.0,0,1
1,450,Ambernath East,1,19200.0,2,1
1,660,Ambernath East,0,30000.0,0,0
1,845,Ambernath East,0,34800.0,0,1
2,845,Ambernath East,0,48000.0,0,1
1,675,Ambernath East,0,30000.0,0,0
1,675,Ambernath East,0,33600.0,0,0
1,700,Ambernath East,0,33000.0,0,0
1,651,Ambernath East,1,30600.0,0,1
1,560,Ambernath East,0,26100.0,0,1
1,675,Ambernath East,0,31200.0,0,1
2,951,Ambernath East,1,43200.0,0,1
2,856,Ambernath East,0,40800.0,0,1
2,780,Ambernath East,0,33600.0,0,1
1,730,Ambernath East,0,44400.0,0,1
1,600,Ambernath East,0,28800.0,0,0
1,370,Ambernath East,0,20400.0,0,0
1,759,Ambernath East,1,41604.0,0,0
1,735,Ambernath East,0,33600.0,0,0
1,731,Ambernath East,0,30000.0,0,0
1,700,Ambernath East,1,34440.0,2,0
2,900,Ambernath East,1,44400.0,0,0
1,680,Ambernath East,0,30000.0,2,0
1,680,Ambernath East,0,30000.0,2,0
1,680,Ambernath East,0,30000.0,2,0
1,680,Ambernath East,0,30000.0,2,0
2,760,Ambernath East,0,45600.0,0,0
2,945,Ambernath East,0,54000.0,0,0
2,945,Ambernath East,0,54000.0,0,0
1,735,Ambernath East,0,33600.0,0,0
2,920,Ambernath East,0,48000.0,0,0
2,920,Ambernath East,0,48000.0,0,0
2,920,Ambernath East,0,48000.0,0,0
2,920,Ambernath East,0,48000.0,0,0
1,656,Ambernath East,0,37800.0,0,0
1,656,Ambernath East,0,37800.0,0,0
2,1047,Ambernath West,1,59496.0,0,1
2,594,Ambernath West,0,41400.0,0,1
2,1047,Ambernath West,1,59496.0,0,1
2,528,Ambernath West,0,37800.0,0,1
2,1002,Ambernath West,1,56940.0,0,1
2,1002,Ambernath West,1,56940.0,0,1
1,840,Ambernath West,1,45924.00000000001,0,1
1,840,Ambernath West,1,45924.00000000001,0,1
1,702,Ambernath West,1,38388.0,0,1
1,702,Ambernath West,1,38388.0,0,1
2,1030,Ambernath West,1,58536.0,0,1
2,1030,Ambernath West,1,58536.0,0,1
2,1027,Ambernath West,1,58356.0,0,1
2,1027,Ambernath West,1,58356.0,0,1
1,730,Ambernath West,1,39912.0,0,1
