bhk,type,locality,area,price,price_unit,region,status,age,price_in_USD
3,0,2726,991,2.94,Cr,7,1,New,352800.0
2,0,2726,758,2.24,Cr,7,1,New,268800.00000000006
3,0,2726,991,2.94,Cr,7,1,New,352800.0
2,0,2726,618,1.82,Cr,7,1,New,218400.0
2,0,2726,618,1.82,Cr,7,1,New,218400.0
3,0,2726,1033,3.06,Cr,7,1,New,367200.0
3,0,2726,1033,3.06,Cr,7,1,New,367200.0
3,0,2726,913,2.7,Cr,7,1,New,324000.0
3,0,2726,913,2.7,Cr,7,1,New,324000.0
3,0,2726,866,2.57,Cr,7,1,New,308400.0
3,0,2726,866,2.57,Cr,7,1,New,308400.0
2,0,2726,562,1.7,Cr,7,1,New,204000.0
2,0,2726,562,1.7,Cr,7,1,New,204000.0
3,0,2726,948,2.81,Cr,7,1,New,337200.0
3,0,2726,948,2.81,Cr,7,1,New,337200.0
3,0,2718,894,1.86,Cr,117,1,New,223200.0
2,0,2718,668,1.35,Cr,117,1,New,162000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,9655,555,15.5,L,28,0,Resale,18600.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,1209,729,51.0,L,41,0,Resale,61200.0
2,0,3130,1020,1.1,Cr,117,0,Resale,132000.0
2,0,3130,1035,1.15,Cr,117,0,Resale,138000.0
2,0,3563,1070,89.0,L,117,0,Resale,106800.0
2,0,3563,1070,93.0,L,117,0,Resale,111600.0
2,0,3563,1050,83.0,L,117,0,Resale,99600.0
2,0,3563,1050,80.0,L,117,0,Resale,96000.0
2,0,3130,1021,1.11,Cr,117,0,Resale,133200.00000000003
2,0,1209,1045,79.0,L,41,0,Resale,94800.0
2,0,1209,1039,80.0,L,41,0,Resale,96000.0
2,0,3130,1080,1.14,Cr,117,0,Resale,136799.99999999997
2,0,3563,750,73.0,L,117,0,Resale,87600.0
1,0,3563,650,62.0,L,117,0,Resale,74400.0
2,0,3563,1050,79.0,L,117,0,Resale,94800.0
2,0,3563,1050,80.0,L,117,0,New,96000.0
2,0,3563,1020,85.0,L,117,0,Resale,102000.0
2,0,3209,785,93.0,L,117,0,Resale,111600.0
2,0,3209,765,91.0,L,117,0,Resale,109200.0
1,0,3209,850,1.15,Cr,117,0,Resale,138000.0
2,0,3209,850,1.11,Cr,117,0,Resale,133200.00000000003
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,3563,620,60.0,L,117,0,Resale,72000.0
2,0,3209,856,1.18,Cr,117,0,Resale,141600.0
2,0,3563,750,70.0,L,117,0,Resale,84000.0
2,0,3209,768,90.0,L,117,0,Resale,108000.0
2,0,3209,856,1.19,Cr,117,0,Resale,142800.0
1,0,3209,756,73.0,L,117,0,Resale,87600.0
2,0,3209,850,1.05,Cr,117,0,Resale,126000.0
1,0,3209,675,74.0,L,117,0,Resale,88800.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,6905,651,20.0,L,8,0,Resale,24000.0
1,0,3044,600,33.6,L,83,0,Resale,40320.0
1,0,6893,520,21.5,L,194,0,Resale,25800.0
1,0,6905,650,20.0,L,8,0,Resale,24000.0
