bhk,type,locality,area,region,status,age,price_in_USD
3,0,2678,1015,120,1,0,294000.0
1,0,6905,651,8,0,1,24000.0
3,0,2726,1076,7,1,0,382800.0
3,0,2726,1076,7,1,0,382800.0
3,0,2726,1076,7,1,0,382800.0
2,0,2726,718,7,1,0,254400.0
3,0,2726,1076,7,1,0,382800.0
2,0,2726,758,7,1,0,268800.00000000006
2,0,2726,718,7,1,0,254400.0
3,0,2726,991,7,1,0,352800.0
2,0,2726,758,7,1,0,268800.00000000006
3,0,2726,991,7,1,0,352800.0
2,0,2726,618,7,1,0,218400.0
2,0,2726,618,7,1,0,218400.0
3,0,2726,1033,7,1,0,367200.0
3,0,2726,1033,7,1,0,367200.0
3,0,2726,913,7,1,0,324000.0
3,0,2726,913,7,1,0,324000.0
3,0,2726,866,7,1,0,308400.0
3,0,2726,866,7,1,0,308400.0
2,0,2726,562,7,1,0,204000.0
2,0,2726,562,7,1,0,204000.0
3,0,2726,948,7,1,0,337200.0
3,0,2726,948,7,1,0,337200.0
3,0,2718,894,117,1,0,223200.0
2,0,2718,668,117,1,0,162000.0
1,0,6905,651,8,0,1,24000.0
1,0,9655,555,28,0,1,18600.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,1209,729,41,0,1,61200.0
2,0,3130,1020,117,0,1,132000.0
2,0,3130,1035,117,0,1,138000.0
2,0,3563,1070,117,0,1,106800.0
2,0,3563,1070,117,0,1,111600.0
2,0,3563,1050,117,0,1,99600.0
2,0,3563,1050,117,0,1,96000.0
2,0,3130,1021,117,0,1,133200.00000000003
2,0,1209,1045,41,0,1,94800.0
2,0,1209,1039,41,0,1,96000.0
2,0,3130,1080,117,0,1,136799.99999999997
2,0,3563,750,117,0,1,87600.0
1,0,3563,650,117,0,1,74400.0
2,0,3563,1050,117,0,1,94800.0
2,0,3563,1050,117,0,0,96000.0
2,0,3563,1020,117,0,1,102000.0
2,0,3209,785,117,0,1,111600.0
2,0,3209,765,117,0,1,109200.0
1,0,3209,850,117,0,1,138000.0
2,0,3209,850,117,0,1,133200.00000000003
1,0,6905,651,8,0,1,24000.0
1,0,3563,620,117,0,1,72000.0
2,0,3209,856,117,0,1,141600.0
2,0,3563,750,117,0,1,84000.0
2,0,3209,768,117,0,1,108000.0
2,0,3209,856,117,0,1,142800.0
1,0,3209,756,117,0,1,87600.0
2,0,3209,850,117,0,1,126000.0
1,0,3209,675,117,0,1,88800.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,3044,600,83,0,1,40320.0
1,0,6893,520,194,0,1,25800.0
1,0,6905,650,8,0,1,24000.0
1,0,8100,685,205,1,1,43643.99999999999
2,0,3563,870,117,0,1,114000.0
3,0,3130,1665,117,0,1,238800.0
2,0,3563,1050,117,0,1,108000.0
1,0,3209,756,117,0,1,92400.0
1,0,3209,785,117,0,1,91200.0
2,0,1653,860,136,0,1,46440.00000000001
1,0,216,600,91,0,1,36000.0
1,3,2068,380,136,0,1,16800.0
1,0,995,600,104,1,1,21600.0
2,0,390,581,56,1,1,150000.0
2,0,3130,810,117,0,1,141600.0
3,0,3130,1200,117,0,1,222000.0
2,0,3563,856,117,0,1,94800.0
2,0,3563,856,117,0,1,96000.0
1,0,1209,629,41,0,1,66000.0
1,0,1209,620,41,0,1,67200.0
2,0,1209,850,41,0,1,93600.0
2,0,1209,850,41,0,1,94800.0
2,0,3130,1350,117,0,1,258000.0
2,0,3563,1070,117,0,1,114000.0
2,0,3209,789,117,0,1,117600.0
1,0,3563,659,117,0,1,70800.0
2,0,3209,789,117,0,1,117600.0
1,0,3563,659,117,0,1,70800.0
1,0,3563,656,117,0,1,73200.0
2,0,3563,850,117,0,1,93600.0
2,0,3130,825,117,0,1,132000.0
1,3,2068,380,136,0,1,16800.0
1,0,995,600,104,1,1,21600.0
1,0,216,600,91,0,1,36000.0
1,0,8994,650,47,1,1,54600.0
3,0,526,1555,208,1,1,307200.0
2,0,548,1125,91,1,1,120000.0
2,0,7919,1233,108,0,1,330000.0
2,3,2563,415,59,0,1,114000.0
2,0,6156,430,8,0,1,150000.0
2,0,4770,1070,198,0,1,97200.0
1,3,3880,335,205,1,1,21000.0
1,0,3880,535,205,0,1,32652.0
3,0,5327,1180,40,0,1,570000.0
2,0,782,1090,79,0,1,216000.0
2,0,3209,850,117,0,1,138000.0
1,1,9376,701,136,1,0,37188.0
1,1,9376,701,136,1,0,37188.0
3,0,2882,1525,31,0,1,390000.0
2,0,5499,965,20,0,1,102000.0
3,0,1696,1300,147,0,1,276000.0
4,0,1772,2500,80,1,1,528000.0
1,0,2875,655,76,0,1,60000.0
2,0,2045,950,104,0,1,408000.0
1,0,2941,560,131,0,1,25200.0
3,0,2470,939,120,1,1,309600.0
2,0,9718,941,75,0,1,44400.0
3,0,1848,905,147,1,0,330000.0
3,0,1848,905,147,1,0,330000.0
3,0,1848,905,147,1,0,330000.0
3,0,1848,905,147,1,0,330000.0
3,0,1848,944,147,1,0,343200.0
3,0,1848,944,147,1,0,343200.0
2,0,1848,611,147,1,0,210000.0
2,0,1848,611,147,1,0,210000.0
2,0,1848,615,147,1,0,211200.0
2,0,1848,615,147,1,0,211200.0
1,0,9303,575,84,1,0,28548.0
2,0,9303,735,84,1,0,38904.0
2,0,9303,840,84,1,0,44472.0
1,0,9303,540,84,1,0,26808.0
1,0,9303,460,84,1,0,22836.0
1,0,9303,490,84,1,0,24324.0
2,0,9303,795,84,1,0,42084.0
1,0,9303,530,84,1,0,26316.0
1,0,9303,595,84,1,0,29544.0
2,0,9303,755,84,1,0,39972.0
1,0,9303,435,84,1,0,21600.0
2,0,9303,680,84,1,0,36000.0
2,0,9303,715,84,1,0,37848.0
2,0,9303,780,84,1,0,41291.99999999999
2,0,8683,645,62,1,0,230400.0
2,0,8683,645,62,1,0,230400.0
3,0,8683,902,62,1,0,310800.0
3,0,8683,902,62,1,0,310800.0
2,0,8683,645,62,1,0,230400.0
2,0,8683,645,62,1,0,230400.0
1,0,8390,411,190,1,0,39000.0
1,0,8390,411,190,1,0,39000.0
1,0,8390,411,190,1,0,39000.0
1,0,8390,411,190,1,0,39000.0
2,0,8390,553,190,1,0,52800.0
2,0,8390,553,190,1,0,52800.0
1,0,8390,400,190,1,0,38400.0
1,0,8390,400,190,1,0,38400.0
2,0,8390,583,190,1,0,54000.0
2,0,8390,583,190,1,0,54000.0
4,0,4567,1150,8,1,1,336000.0
2,0,4580,1227,198,0,1,109200.0
3,0,2927,1152,198,0,1,105600.0
4,0,3232,1135,47,0,1,74400.0
1,3,4258,400,198,0,1,27600.0
1,0,8761,580,57,0,1,96000.0
1,0,3019,420,8,0,1,120000.0
1,0,767,380,30,1,0,105600.0
2,0,767,764,30,1,0,222000.0
1,0,2400,500,117,0,1,92400.0
1,0,196,550,194,1,1,49691.99999999999
4,1,5145,1490,125,0,1,216000.0
1,0,5817,515,2,1,1,30000.0
2,0,8893,1100,20,1,1,120000.0
1,0,7701,685,76,0,1,54000.0
1,0,8379,450,50,1,0,49643.99999999999
2,0,8379,650,50,1,0,69588.0
1,0,6905,651,8,0,1,24000.0
3,0,4006,1980,119,0,1,210000.0
3,0,2187,1750,147,0,1,690000.0
1,0,2731,650,190,0,1,33144.0
2,0,1884,1000,91,0,1,82200.0
1,0,2612,690,140,1,1,74400.0
1,3,3541,400,15,0,1,21600.0
2,0,5050,1017,62,1,1,190800.0
2,0,5286,1265,194,0,1,186000.0
1,0,9165,700,130,1,1,44400.0
1,0,6728,625,78,0,1,26280.0
3,0,2158,1350,194,0,1,252000.0
1,0,7858,675,86,0,1,33600.0
1,0,7858,700,86,0,1,34212.0
1,0,7858,700,86,0,1,34212.0
1,0,2836,770,91,0,1,50400.0
3,0,4140,1062,6,0,1,90000.0
3,0,7161,1360,57,0,1,324000.0
1,0,8986,500,47,1,1,33120.0
2,0,5317,1100,34,0,1,238800.0
2,0,1879,650,1,1,1,314400.0
1,0,6905,651,8,0,1,24000.0
2,0,9307,1090,117,0,1,139200.0
2,0,8538,989,5,0,1,44400.0
1,3,5885,275,7,0,1,54000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
3,0,1172,1400,134,0,1,168000.0
2,0,2927,1152,198,0,1,100800.0
2,0,1880,800,215,0,1,300000.0
2,0,4812,672,194,0,0,123600.0
1,0,4812,330,194,0,0,59976.0
1,0,4812,343,194,0,0,62340.0
2,0,4812,659,194,0,0,121200.0
2,0,4812,489,194,0,0,89976.0
2,0,4812,505,194,0,0,92928.0
2,0,9265,973,131,1,1,36000.0
2,0,1880,1000,215,0,1,330000.0
3,0,5148,875,205,0,1,60000.0
2,0,4823,498,194,1,0,83987.99999999999
1,0,4696,650,140,0,1,45600.0
2,0,9266,1145,140,0,1,90000.0
1,0,6595,575,74,0,1,72000.0
3,0,2570,1300,30,0,1,382800.0
1,0,2848,670,15,0,1,31800.0
2,0,852,1150,91,0,1,70800.0
2,0,3838,1100,88,0,1,95987.99999999999
1,0,3972,700,124,0,1,58788.0
1,0,2088,695,205,1,1,41040.00000000001
5,0,8968,2920,155,0,1,1440000.0
2,0,3232,980,47,0,1,55164.0
2,0,4560,1150,132,0,1,210000.0
2,0,3611,978,120,0,1,228000.0
1,0,3567,565,125,0,1,23400.0
2,0,1278,850,125,0,1,48000.0
1,0,78,298,151,1,0,32400.0
1,0,78,298,151,1,0,32400.0
1,0,78,313,151,1,0,33072.0
1,0,78,313,151,1,0,33072.0
1,0,78,298,151,1,0,32400.0
1,0,78,298,151,1,0,32400.0
1,0,995,600,104,1,1,21600.0
2,0,7154,676,81,1,1,180000.0
1,0,5420,750,194,0,1,100800.0
1,0,7117,650,81,0,1,160800.0
2,0,3146,964,47,0,1,65400.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,2530,650,198,0,1,46800.0
2,0,3888,425,41,0,1,25848.0
2,0,2010,935,5,0,1,53400.0
1,0,517,450,204,0,1,106800.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
3,0,1634,1655,147,0,1,306000.0
1,0,9631,512,198,0,1,78000.0
3,0,5149,1275,125,0,1,83987.99999999999
2,0,5659,854,154,0,1,186000.0
2,0,1827,830,76,0,1,67932.0
1,0,6887,540,57,0,1,120000.0
2,0,720,1080,108,0,1,228000.0
1,0,3455,660,47,1,1,61200.0
2,0,1579,790,20,0,1,450000.0
1,0,6435,660,2,0,1,85200.0
1,0,9258,550,47,1,1,43200.0
1,0,7365,671,47,1,1,51600.0
1,0,4951,506,84,1,1,29160.0
2,0,571,1230,117,0,1,162000.0
1,0,5899,475,88,1,1,330000.0
1,0,7776,600,62,0,1,114000.0
2,0,5887,850,205,0,1,71400.0
1,0,5076,600,155,0,1,282000.0
1,0,6455,395,24,0,1,67188.0
1,0,2510,496,28,0,1,18000.0
1,0,7263,525,205,1,1,25200.0
1,3,7263,405,205,1,1,20400.0
3,0,5047,1090,117,0,1,132000.0
2,0,7287,658,7,0,1,156000.0
1,0,4348,475,136,0,1,21000.0
1,0,529,600,84,1,1,26400.0
3,0,4322,1800,8,0,1,432000.0
2,0,1096,1250,157,0,1,106800.0
1,0,4073,800,8,0,1,66000.0
2,0,7451,528,84,0,0,29028.0
2,0,7451,528,84,0,0,29028.0
1,0,7451,276,84,0,0,16800.0
1,0,7451,276,84,0,0,16800.0
2,0,7451,528,84,0,0,29028.0
2,0,7451,528,84,0,0,29028.0
1,0,7451,276,84,0,0,16800.0
1,0,7451,276,84,0,0,16800.0
2,0,5417,870,79,0,1,174000.0
1,0,9499,464,80,0,1,150000.0
2,0,9300,1070,117,1,1,105600.0
1,0,8236,600,47,0,1,25200.0
1,0,6717,500,185,0,1,156000.0
1,0,4363,638,4,0,1,30600.0
2,0,8236,700,47,0,1,30000.0
1,0,1555,780,96,0,1,102000.0
1,0,8189,650,194,0,1,91080.00000000001
1,0,5243,610,198,0,1,62400.0
1,0,9589,550,125,0,1,40800.0
2,0,6240,909,133,0,1,72000.0
1,0,6905,651,8,0,1,24000.0
1,0,1085,640,16,0,1,27600.0
1,0,1085,640,16,0,1,27600.0
1,0,6905,651,8,0,1,24000.0
1,0,1888,1200,83,1,1,38400.0
1,0,1085,640,16,0,1,27600.0
1,0,1888,1200,83,1,1,38400.0
1,0,1888,1200,83,1,1,38400.0
1,0,1888,1200,83,1,1,38400.0
1,0,1888,1200,83,1,1,38400.0
2,0,8986,1075,47,0,1,61200.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,240000.0
3,0,5628,1925,148,0,1,1080000.0
1,0,3852,630,93,0,1,30000.0
1,0,6905,650,8,0,1,24000.0
1,0,9056,729,140,0,1,49200.0
1,0,6905,651,8,0,1,24000.0
2,0,6448,1037,194,0,1,156000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
3,0,5058,1300,113,0,1,478800.0
2,0,1607,670,79,0,1,126000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
